Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Afghanistan,AFG,5.60188791482224,5.13320340824963,13.7121023720065,-4.64470870797775,-6.60118564073726
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Albania,ALB,1.62088661717004,2.04147163139545,6.7252027153006,4.75834555150039,2.21587375089999
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Algeria,DZA,2.41513094083414,7.22606307415477,9.26551551551553,9.32217375928322,4.04611455313434
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Andorra,AND,..,..,..,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Angola,AGO,22.271539247051,25.7542948841891,21.3552901320822,13.6441017767715,28.2404948915772
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Argentina,ARG,42.0150947376509,48.4093786255199,72.430757531824,133.488935594175,219.883929014578
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Aruba,ABW,..,..,..,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Australia,AUS,0.846905537459305,2.86391042204994,6.59409671341846,5.5970149253731,3.1616142830575
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Austria,AUT,1.38191063351862,2.7666666666667,8.5468699318845,7.81413417002832,2.93791574279383
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Azerbaijan,AZE,2.75980947008127,6.65029912708779,13.8522590144267,8.78543049849081,2.21217188919901
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Bahamas, The",BHS,0.0385210980054558,2.90491262928478,5.60540633583044,3.05291578969743,0.409162489083286
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bahrain,BHR,-2.31770629331379,-0.60631938514085,3.62574104304482,0.0746206782192256,0.919635459817651
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bangladesh,BGD,5.69107474746211,5.54565430773473,7.69695437176898,9.8835030377921,10.4657482763412
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Barbados,BRB,..,..,..,9.79207077126447,-0.440112940205204
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belarus,BLR,5.54814357456511,9.46028389623106,15.209675274081,5.00059903091313,5.78531910427999
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belgium,BEL,0.740791812220344,2.44024851144084,9.597511728725,4.04901077613941,3.14349136500041
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belize,BLZ,0.121434644614894,3.23563659237071,6.27689319447544,4.38984017487675,3.28955985952768
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Benin,BEN,3.02272119663759,1.73353962694036,1.35077863583527,2.73870078406075,1.16093089640415
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bermuda,BMU,..,..,..,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bhutan,BTN,5.62936522632508,7.3468144053353,5.6391667139637,4.22934419929251,2.76131569624098
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bolivia,BOL,0.940742153381849,0.737383721452275,1.74632872945969,2.57688800489192,5.09976568317427
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bosnia and Herzegovina,BIH,-1.0512960076349,1.98163900587622,14.0208440826771,6.1059011284828,1.69212733599724
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Botswana,BWA,1.8903591682421,7.24097765588442,11.665567478802,5.0676154934383,2.81835131676251
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Brazil,BRA,3.21176803803376,8.30165975585673,9.28010608956873,4.59356282283204,4.36746407652337
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Brunei Darussalam,BRN,1.94031996607184,1.73341388450593,3.68225030604216,0.35706431153689,-0.388674165036461
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bulgaria,BGR,1.67244096855756,3.29774435299515,15.3252589264366,9.44284140088564,2.44651943006079
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Burkina Faso,BFA,1.88470066518847,3.65326761825509,14.2902354303358,0.742910428668918,4.19081721344523
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Burundi,BDI,7.32110643415521,8.40453845076341,18.8008786664945,26.9414835762453,20.2124925027847
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cabo Verde,CPV,0.605795808395385,1.86215297494647,7.93092925430087,3.72437517668748,1.04817001091965
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cambodia,KHM,2.9402951426397,2.92073477592949,5.34370264895437,2.12746796594194,0.808042016536654
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cameroon,CMR,2.43760882182236,2.27185762503637,6.24767713343861,7.38281384280984,4.53331349711606
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Canada,CAN,0.716999632307827,3.39519318527528,6.80280115341613,3.87900159788426,2.38158383281173
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Central African Republic,CAF,1.71015659523153,4.25936417542868,5.58316735183247,2.97913852618937,1.47733600718744
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Chad,TCD,4.46414437232861,-0.77284437035914,5.78802687843616,10.8363568399843,8.89950732263754
